Player,3P,2P,TS%,ORB%,DRB%,DBPM,BLK%,STL%,AST%,AST/TOV
Kent Benson,0.2758927194003361,0.5894684468431325,0.611015124622716,0.6528554971551006,0.727196580109443,0.7999120121264705,0.6074721422343585,0.5930297861072881,0.398200425183802,0.44774872832405965
Kentavious Caldwell-Pope,0.773908076820022,0.15231264422518698,0.41724393204968707,0.24885721248951334,0.31764338610438686,0.42189624117561325,0.2637299853749579,0.672435059564976,0.27729826567791604,0.5979567466413472
Kenyon Martin,0.35537350193807626,0.5984144849977642,0.44542697289143,0.5526645635407621,0.74403409494724,0.8430455446093186,0.6726004849915512,0.6804220666623769,0.4090079931373937,0.42391065664344796
Keon Clark,0.2150730914267018,0.4921768590355622,0.579677243719414,0.711791066072219,0.7762847419835553,0.8399655999856085,0.8171817897708498,0.31768604066740475,0.19671654053755772,0.2674749572056426
Kermit Washington,0.09297626683771648,0.44303548566094786,0.8221227928641619,0.8908569629608533,0.838357448251436,0.7446973072070325,0.6234389229023696,0.44863147399298875,0.2205900330643224,0.2503530198761374
Kerry Kittles,0.6960787039727471,0.3249726782782575,0.5438004118250843,0.3421593434850464,0.39345964903694297,0.6098428569087901,0.42899627833592496,0.8094056687186227,0.5003784551313143,0.7174760095024854
Kevin Duckworth,0.25359242046328695,0.681466025371277,0.4467117968559961,0.686711345026457,0.6479139978680847,0.271245993330943,0.4570771290100949,0.22096830854977595,0.12412864147725874,0.19644076823345397
Kevin Durant,0.7539972224652475,0.7509622233675914,0.94664961713447,0.2646207694631237,0.714391967229417,0.6256142803476308,0.6079631874958824,0.529887540340668,0.630599733529148,0.45815804879163685
Kevin Edwards,0.4582783273947676,0.5713319346906637,0.23040952244423646,0.37326140221009635,0.2949913481006395,0.4689665275786665,0.3666449115110107,0.8357558679860077,0.5928878769486708,0.5387828481384747
Kevin Gamble,0.5039074340452012,0.536783460982492,0.7409533688242846,0.3060707273887612,0.28330888017151995,0.347945123315362,0.350718730780076,0.5232966471270104,0.49449654365497775,0.7461961348881558
Kevin Garnett,0.3672693875912347,0.7676940466082675,0.7182125859482946,0.6153607716048749,0.9104523765612134,0.9155870921109408,0.6860912510085176,0.6635624945361266,0.6469378099799317,0.6247880510417942
Kevin Grevey,0.44355076386978176,0.6792475705724084,0.3276208872294133,0.4038184485171295,0.21734097764922214,0.2553028938616346,0.2297905789120434,0.3298836207868555,0.4482950514311731,0.5311153118598486
Kevin Johnson,0.4094527439166736,0.6310146838904553,0.8864855122058966,0.24021266097120006,0.2922285928033934,0.27478524304731683,0.25111682839622124,0.7211369348445166,0.9117813090511601,0.8562965065588076
Kevin Kunnert,0.09297626683771648,0.6049826493169094,0.347315107952497,0.8848863002030517,0.8598266594805947,0.6478555245681802,0.6692045602440041,0.23625930211923057,0.31319139178084526,0.1592643976696918
Kevin Loughery,0.09297626683771648,0.7525270736560781,0.19959884882360623,0.037315586914688906,0.037107119948685055,0.5119651669802103,0.0377325208466966,0.037107119948685055,0.5483052590388311,0.05420141116100064
